Genero,Nivel_Educativo,Area_Estudio,Promedio,Calificacion_Examen_Final,Participacion_Actividades_Extracurriculares,Horas_Estudio_Semanales,Calificacion_Satisfaccion_Curso,Nivel_Socioeconomico,Calificacion_Bienestar_Emocional,Asistencia_Clases,Calificacion_Habilidades_Sociales,Calificacion_Habilidades_Comunicacion,Fecha,Edad
Masculino,Primaria,Matematicas,14.0,57,No,10,3,Bajo,7,94,8,1,2017-08-06,7
Masculino,Secundaria,Artes,10.83,86,No,28,3,Bajo,10,81,4,6,2015-03-15,15
Femenino,Secundaria,Ciencias,14.04,96,Si,10,4,Medio,9,91,3,4,2016-06-06,13
Femenino,Universitario,Matematicas,10.32,89,Si,7,2,Alto,8,81,4,6,2015-03-09,18
Femenino,Secundaria,Matematicas,18.22,68,Si,22,2,Medio,6,95,9,4,2015-04-04,13
Femenino,Primaria,Artes,9.39,70,Si,11,4,Bajo,7,89,6,3,2016-06-14,11
Femenino,Primaria,Ciencias,10.81,57,Si,21,1,Alto,9,91,8,2,2016-01-15,7
Masculino,Secundaria,Matematicas,13.33,97,Si,25,1,Medio,6,75,4,10,2016-10-31,12
Masculino,Primaria,Matematicas,18.27,55,Si,16,4,Medio,7,82,4,6,2017-01-09,8
Masculino,Secundaria,Ciencias,17.91,57,No,14,4,Alto,8,98,7,10,2017-01-20,14
Femenino,Primaria,Ciencias,15.94,60,Si,26,1,Bajo,9,98,1,8,2017-05-12,11
Femenino,Universitario,Artes,18.37,98,Si,29,3,Medio,8,87,7,10,2017-04-19,22
Masculino,Secundaria,Artes,18.87,56,Si,8,4,Alto,6,98,1,7,2017-08-31,16
Femenino,Secundaria,Ciencias,17.56,63,Si,15,4,Alto,5,74,7,2,2016-05-19,16
Femenino,Universitario,Matematicas,18.49,72,No,27,2,Alto,9,99,10,10,2016-03-20,24
Masculino,Secundaria,Artes,18.1,97,No,12,1,Alto,9,99,7,1,2017-02-27,14
Masculino,Universitario,Matematicas,14.96,59,No,15,1,Medio,8,82,1,2,2016-06-29,22
Masculino,Universitario,Matematicas,14.13,84,No,20,5,Bajo,6,74,4,1,2017-07-30,19
Masculino,Universitario,Ciencias,11.97,92,No,28,2,Alto,7,85,9,3,2016-06-04,21
Masculino,Secundaria,Ciencias,9.3,74,No,28,1,Alto,10,88,9,7,2017-03-07,13
Femenino,Universitario,Ciencias,14.29,82,Si,21,3,Bajo,7,92,2,4,2016-03-27,24
Masculino,Primaria,Ciencias,12.53,61,Si,28,3,Bajo,10,84,5,7,2016-03-17,8
Masculino,Secundaria,Ciencias,17.63,89,No,20,4,Alto,5,84,10,9,2017-06-17,13
Femenino,Primaria,Artes,9.07,64,No,18,4,Alto,9,79,7,10,2015-03-09,10
Masculino,Universitario,Artes,9.33,98,Si,20,2,Alto,9,87,8,7,2017-11-03,19
Masculino,Universitario,Artes,15.22,54,No,26,5,Medio,8,92,10,1,2015-10-08,21
Femenino,Primaria,Ciencias,12.71,62,Si,26,2,Bajo,9,83,7,5,2017-01-16,8
Masculino,Primaria,Artes,12.32,56,Si,15,1,Bajo,10,93,7,6,2017-05-25,8
Femenino,Secundaria,Artes,14.59,82,Si,18,2,Medio,10,80,3,2,2015-12-02,15
Femenino,Primaria,Ciencias,17.05,53,Si,16,2,Medio,9,78,6,5,2017-08-09,6
Masculino,Universitario,Ciencias,15.26,78,Si,17,3,Bajo,9,87,5,9,2016-05-04,19
Femenino,Universitario,Matematicas,15.03,91,No,29,5,Medio,9,84,1,5,2016-03-02,23
Masculino,Secundaria,Artes,9.04,59,Si,14,3,Alto,5,96,10,5,2017-01-28,14
Femenino,Primaria,Ciencias,10.93,70,No,8,2,Medio,5,84,6,5,2015-05-20,10
Masculino,Secundaria,Ciencias,12.84,68,No,13,5,Alto,9,98,2,8,2017-10-04,15
Femenino,Universitario,Matematicas,19.45,58,No,21,2,Alto,8,89,5,2,2016-07-28,19
Femenino,Primaria,Matematicas,17.36,69,Si,23,3,Bajo,5,86,7,2,2017-11-25,9
Masculino,Universitario,Artes,17.12,88,No,10,2,Bajo,7,75,9,8,2017-12-15,17
Femenino,Primaria,Artes,14.23,84,No,20,4,Alto,7,71,6,4,2015-09-03,6
Masculino,Universitario,Matematicas,12.77,61,Si,18,2,Alto,7,74,3,6,2017-01-22,19
Masculino,Primaria,Matematicas,17.84,93,No,23,2,Bajo,8,98,10,2,2016-10-30,9
Femenino,Primaria,Artes,19.76,73,No,28,2,Medio,9,91,3,8,2015-11-13,7
Masculino,Primaria,Artes,19.04,67,Si,11,1,Alto,5,86,1,3,2015-06-15,7
Masculino,Primaria,Artes,8.93,85,No,8,1,Bajo,9,94,2,5,2017-01-10,10
Femenino,Universitario,Matematicas,18.55,55,No,25,2,Bajo,8,71,9,7,2016-07-28,24
Masculino,Primaria,Ciencias,16.3,74,Si,22,4,Alto,7,82,4,9,2015-07-23,10
Masculino,Secundaria,Ciencias,13.46,81,Si,6,4,Medio,8,88,10,3,2017-04-12,16
Masculino,Secundaria,Artes,18.79,87,No,23,3,Alto,7,89,10,10,2017-11-08,14
Femenino,Primaria,Matematicas,19.28,51,No,8,1,Bajo,8,98,4,4,2017-09-19,10
Masculino,Secundaria,Ciencias,17.17,93,No,7,1,Alto,7,70,6,5,2016-06-24,15
Masculino,Universitario,Ciencias,13.78,82,No,8,1,Bajo,5,77,5,3,2015-01-22,20
Femenino,Universitario,Ciencias,17.57,59,Si,20,2,Medio,5,90,4,4,2017-12-02,17
Masculino,Secundaria,Artes,19.1,63,Si,22,2,Medio,6,87,3,4,2017-12-24,16
Femenino,Secundaria,Ciencias,8.34,55,Si,13,2,Alto,6,96,6,3,2015-04-24,16
Femenino,Primaria,Artes,14.44,60,Si,11,3,Alto,5,78,10,5,2017-06-19,6
Femenino,Universitario,Artes,13.24,88,No,9,1,Medio,5,73,1,9,2017-05-21,22
Femenino,Secundaria,Matematicas,15.65,52,No,7,2,Alto,5,91,9,3,2015-12-18,16
Femenino,Primaria,Matematicas,9.17,82,No,7,4,Medio,10,82,4,7,2016-12-23,11
Femenino,Secundaria,Ciencias,8.08,52,No,29,5,Bajo,5,90,4,10,2016-05-28,12
Femenino,Secundaria,Matematicas,12.63,80,Si,24,4,Medio,9,77,2,2,2015-05-22,13
Femenino,Primaria,Ciencias,14.59,74,No,12,2,Bajo,8,72,2,4,2015-10-08,8
Femenino,Secundaria,Artes,18.82,60,No,18,4,Alto,10,79,8,4,2016-10-01,16
Femenino,Secundaria,Artes,9.38,98,Si,16,1,Medio,10,99,10,2,2016-01-30,15
Masculino,Primaria,Ciencias,11.05,80,No,28,5,Alto,10,97,8,6,2017-07-01,8
Masculino,Secundaria,Matematicas,17.84,55,Si,21,5,Medio,8,78,7,2,2016-03-12,12
Femenino,Universitario,Artes,9.7,68,No,14,4,Bajo,5,98,6,6,2015-01-16,23
Masculino,Universitario,Matematicas,12.18,98,No,29,3,Alto,8,88,3,4,2015-10-20,20
Femenino,Primaria,Matematicas,16.63,92,No,28,4,Medio,5,99,8,6,2016-05-04,8
Femenino,Universitario,Matematicas,18.94,52,Si,16,1,Bajo,9,75,1,8,2016-04-19,21
Femenino,Secundaria,Matematicas,9.38,94,No,29,3,Bajo,5,97,6,7,2015-07-04,15
Femenino,Primaria,Artes,16.76,98,No,27,3,Alto,10,88,3,10,2016-12-25,7
Masculino,Secundaria,Artes,19.61,57,Si,21,2,Bajo,8,88,2,3,2015-08-30,13
Femenino,Primaria,Matematicas,12.14,56,Si,8,5,Bajo,8,97,7,8,2017-02-12,8
Masculino,Secundaria,Artes,14.67,83,No,23,1,Medio,9,87,8,3,2016-09-03,14
Masculino,Universitario,Matematicas,12.27,83,Si,17,2,Medio,6,92,10,6,2016-03-21,24
Masculino,Secundaria,Ciencias,8.82,54,Si,20,5,Bajo,10,71,5,2,2016-06-18,12
Femenino,Secundaria,Matematicas,8.77,61,Si,22,2,Medio,5,98,1,3,2017-03-07,14
Femenino,Universitario,Matematicas,15.42,79,No,19,2,Alto,5,95,3,4,2016-12-23,23
Femenino,Primaria,Matematicas,14.8,53,Si,22,1,Alto,7,88,5,5,2016-02-01,10
Femenino,Primaria,Matematicas,10.2,83,Si,5,1,Bajo,5,96,6,1,2015-10-22,8
Femenino,Secundaria,Matematicas,15.4,54,Si,20,2,Bajo,9,98,4,8,2015-08-19,13
Femenino,Primaria,Ciencias,19.53,95,Si,25,1,Alto,10,86,9,5,2017-08-28,9
Masculino,Primaria,Ciencias,17.83,92,Si,19,4,Medio,10,83,2,2,2017-01-14,6
Femenino,Universitario,Matematicas,8.99,72,No,8,3,Bajo,8,81,4,4,2015-08-14,21
Masculino,Universitario,Matematicas,15.68,55,Si,18,4,Medio,8,93,1,7,2017-10-13,17
Masculino,Secundaria,Artes,13.02,62,No,20,2,Bajo,7,82,8,3,2015-04-15,12
Femenino,Primaria,Matematicas,9.97,71,Si,16,5,Alto,9,70,10,10,2015-08-09,9
Femenino,Secundaria,Artes,15.58,82,Si,19,3,Bajo,8,90,7,7,2017-09-16,14
Femenino,Secundaria,Ciencias,12.58,64,Si,8,4,Alto,5,72,1,8,2016-07-02,12
Masculino,Secundaria,Artes,17.78,59,No,9,1,Bajo,10,97,10,6,2017-04-22,16
Masculino,Secundaria,Artes,16.68,71,Si,11,2,Bajo,7,89,5,8,2016-09-23,15
Femenino,Universitario,Ciencias,18.79,71,No,10,3,Bajo,5,95,4,9,2017-05-26,24
Femenino,Secundaria,Matematicas,19.43,83,Si,28,5,Medio,5,76,9,9,2017-02-21,12
Femenino,Secundaria,Artes,13.83,74,No,5,5,Medio,9,98,9,10,2016-07-05,15
Femenino,Universitario,Artes,14.45,73,Si,7,3,Bajo,6,95,8,6,2015-05-22,22
Masculino,Secundaria,Artes,15.42,78,Si,11,3,Medio,6,88,8,5,2016-08-27,14
Femenino,Primaria,Matematicas,18.81,69,Si,21,3,Medio,10,78,2,8,2017-05-02,7
Masculino,Primaria,Artes,11.94,77,Si,9,3,Alto,7,93,2,9,2016-11-16,6
Femenino,Primaria,Ciencias,13.66,59,Si,10,2,Alto,9,74,4,2,2016-03-07,7
Femenino,Secundaria,Ciencias,10.73,61,Si,8,5,Medio,7,84,1,10,2017-06-29,15
Femenino,Secundaria,Artes,15.01,52,No,24,4,Medio,8,98,5,9,2017-08-15,12
Femenino,Secundaria,Ciencias,8.18,51,Si,22,1,Medio,6,91,2,8,2017-05-18,13
Masculino,Universitario,Matematicas,10.22,66,Si,5,1,Bajo,6,71,2,4,2016-09-08,21
Femenino,Universitario,Matematicas,12.77,92,No,27,4,Medio,8,89,1,3,2015-04-06,22
Masculino,Universitario,Matematicas,8.01,86,No,24,1,Medio,10,80,9,2,2015-09-07,21
Masculino,Secundaria,Artes,16.66,90,Si,19,1,Alto,9,71,6,1,2015-09-26,13
Masculino,Secundaria,Matematicas,15.71,83,Si,12,1,Bajo,8,88,3,6,2016-11-07,15
Masculino,Universitario,Ciencias,19.4,73,Si,7,5,Alto,9,72,9,5,2017-10-05,19
Masculino,Secundaria,Artes,11.19,99,Si,19,3,Alto,8,87,3,10,2017-05-01,13
Masculino,Secundaria,Ciencias,9.62,80,No,10,4,Bajo,10,94,6,10,2017-05-22,16
Femenino,Primaria,Ciencias,11.37,72,Si,23,5,Alto,6,70,3,2,2015-09-01,10
Masculino,Universitario,Matematicas,16.01,58,No,22,3,Alto,7,72,6,5,2015-02-21,23
Masculino,Universitario,Artes,10.44,63,No,15,5,Medio,7,70,4,9,2017-09-08,18
Masculino,Primaria,Artes,12.06,95,Si,16,5,Alto,8,92,8,10,2016-01-05,6
Femenino,Primaria,Ciencias,9.68,73,No,11,1,Bajo,5,94,2,5,2015-07-31,11
Femenino,Secundaria,Matematicas,19.03,81,No,29,4,Medio,5,73,9,3,2015-08-28,14
Femenino,Primaria,Matematicas,15.51,96,Si,25,2,Bajo,5,96,3,4,2015-12-10,6
Masculino,Primaria,Artes,8.59,65,Si,15,4,Bajo,5,75,1,9,2016-07-23,6
Masculino,Universitario,Ciencias,10.49,67,Si,26,5,Alto,10,72,2,6,2016-11-13,23
Masculino,Secundaria,Ciencias,10.0,86,Si,16,3,Alto,10,93,10,10,2015-08-14,16
Masculino,Primaria,Artes,8.9,77,Si,6,4,Bajo,9,87,9,8,2016-05-15,8
Masculino,Universitario,Ciencias,13.83,90,Si,27,1,Medio,6,87,2,9,2016-04-29,21
Femenino,Universitario,Matematicas,8.12,78,No,11,2,Alto,9,98,4,10,2017-07-13,23
Femenino,Primaria,Artes,16.11,67,Si,10,5,Alto,5,97,3,1,2015-05-12,9
Masculino,Secundaria,Artes,19.87,68,Si,12,4,Bajo,10,73,9,3,2017-07-20,13
Masculino,Secundaria,Artes,19.78,91,Si,20,2,Bajo,10,80,1,9,2016-04-28,12
Masculino,Secundaria,Matematicas,12.4,88,Si,21,3,Bajo,7,91,3,2,2017-04-28,14
Femenino,Secundaria,Artes,19.95,82,Si,5,2,Bajo,6,86,8,8,2015-12-12,15
Femenino,Secundaria,Matematicas,18.51,98,No,20,4,Medio,8,92,7,6,2016-02-22,15
Masculino,Primaria,Ciencias,18.64,60,No,11,1,Bajo,6,93,6,8,2017-08-14,10
Masculino,Secundaria,Matematicas,16.97,55,Si,8,1,Medio,10,97,5,10,2016-08-29,14
Femenino,Primaria,Matematicas,18.01,83,No,13,5,Medio,8,70,4,1,2015-08-08,10
Femenino,Universitario,Artes,17.12,62,No,27,2,Bajo,6,73,8,7,2016-03-28,19
Masculino,Universitario,Matematicas,10.38,97,Si,10,2,Medio,7,93,4,2,2015-03-22,24
Femenino,Universitario,Ciencias,16.17,63,Si,13,5,Alto,7,95,3,7,2015-10-31,18
Masculino,Universitario,Artes,19.48,64,Si,14,5,Bajo,9,85,3,10,2016-12-08,22
Masculino,Secundaria,Ciencias,10.74,96,No,16,3,Medio,9,85,6,10,2016-10-02,15
Masculino,Primaria,Ciencias,10.35,98,No,23,3,Bajo,6,84,9,5,2017-02-03,9
Masculino,Primaria,Ciencias,8.26,59,No,19,2,Alto,5,90,2,9,2017-06-15,8
Masculino,Secundaria,Artes,18.32,82,Si,16,5,Medio,8,72,1,1,2016-11-27,14
Masculino,Secundaria,Ciencias,16.54,62,Si,14,1,Bajo,9,78,8,4,2017-06-25,15
Femenino,Secundaria,Artes,10.83,65,No,7,1,Alto,9,97,7,1,2016-03-25,15
Femenino,Secundaria,Matematicas,13.62,70,No,28,1,Medio,8,86,3,7,2016-10-04,15
Femenino,Primaria,Artes,18.59,50,No,10,3,Medio,9,96,1,8,2017-05-05,6
Masculino,Primaria,Artes,18.33,71,No,5,2,Medio,7,73,10,9,2016-04-17,7
Femenino,Secundaria,Matematicas,9.45,74,No,8,2,Alto,5,70,2,9,2017-09-23,12
Masculino,Primaria,Artes,19.69,72,No,12,1,Bajo,5,83,1,9,2015-12-11,11
Masculino,Secundaria,Matematicas,15.73,62,Si,24,3,Bajo,9,74,9,9,2015-10-24,16
Femenino,Universitario,Artes,12.79,65,Si,15,2,Alto,7,88,2,6,2016-04-22,23
Femenino,Primaria,Artes,15.63,70,No,24,4,Alto,7,95,8,4,2015-10-02,8
Masculino,Primaria,Matematicas,9.83,64,No,17,2,Medio,8,72,2,3,2016-12-21,8
Femenino,Universitario,Ciencias,8.54,56,Si,9,3,Medio,6,79,4,8,2015-12-06,23
Femenino,Secundaria,Ciencias,17.76,87,Si,18,1,Medio,5,94,4,9,2016-10-01,15
Femenino,Universitario,Artes,17.89,88,Si,15,4,Alto,5,95,2,8,2015-01-25,24
Femenino,Universitario,Artes,9.3,69,Si,9,1,Medio,6,98,6,3,2017-03-26,21
Femenino,Primaria,Ciencias,19.13,57,Si,17,3,Bajo,6,98,3,1,2015-08-29,8
Femenino,Universitario,Ciencias,8.68,81,Si,15,3,Bajo,5,96,7,9,2016-04-06,21
Femenino,Secundaria,Ciencias,15.97,81,No,26,2,Medio,8,90,3,3,2016-08-06,13
Femenino,Universitario,Matematicas,13.02,91,No,29,5,Alto,10,93,1,9,2016-12-21,18
Femenino,Primaria,Artes,16.37,66,No,5,2,Bajo,5,70,1,8,2016-01-13,10
Femenino,Universitario,Artes,18.29,58,Si,25,2,Medio,7,75,7,6,2017-12-11,17
Masculino,Secundaria,Matematicas,19.69,84,Si,29,3,Medio,10,99,4,7,2016-01-18,15
Femenino,Secundaria,Ciencias,14.15,86,Si,25,4,Bajo,5,73,1,1,2015-05-17,14
Femenino,Universitario,Ciencias,16.21,57,Si,9,4,Medio,6,87,3,2,2015-11-02,20
Femenino,Primaria,Matematicas,14.91,95,No,15,2,Medio,8,77,8,10,2016-01-07,8
Masculino,Secundaria,Matematicas,9.33,88,Si,24,4,Bajo,8,87,6,9,2016-06-10,16
Femenino,Primaria,Matematicas,10.1,74,No,28,5,Alto,6,71,10,10,2017-04-06,11
Femenino,Universitario,Artes,9.96,90,No,9,3,Alto,5,92,2,8,2016-12-20,18
Femenino,Universitario,Ciencias,16.59,90,No,6,5,Medio,10,85,5,9,2016-07-20,18
Masculino,Primaria,Artes,12.98,55,No,13,4,Bajo,6,91,6,4,2017-06-05,6
Masculino,Primaria,Artes,15.32,74,No,15,3,Alto,6,95,2,10,2016-04-05,7
Masculino,Universitario,Ciencias,10.68,79,Si,10,1,Medio,5,73,3,2,2015-08-08,20
Masculino,Secundaria,Ciencias,10.17,58,Si,13,1,Alto,5,75,9,4,2016-06-14,12
Masculino,Universitario,Artes,18.58,81,Si,14,3,Medio,6,78,7,1,2016-05-15,17
Femenino,Secundaria,Artes,10.0,77,Si,15,5,Alto,9,71,8,1,2015-12-14,15
Femenino,Secundaria,Artes,19.25,53,Si,20,4,Medio,10,79,10,7,2015-11-15,12
Femenino,Secundaria,Ciencias,15.13,61,No,12,2,Medio,7,88,10,3,2017-09-25,15
Femenino,Primaria,Matematicas,15.48,68,Si,25,2,Medio,10,75,2,10,2016-03-30,9
Femenino,Universitario,Matematicas,9.83,65,No,11,4,Medio,6,72,10,4,2016-02-13,19
Femenino,Secundaria,Matematicas,12.23,75,Si,19,4,Bajo,8,82,8,2,2015-04-28,15
Femenino,Secundaria,Ciencias,15.46,61,Si,9,1,Medio,8,99,2,5,2017-11-02,16
Femenino,Universitario,Ciencias,18.36,70,Si,15,1,Medio,9,73,5,8,2016-07-28,19
Femenino,Universitario,Matematicas,15.81,61,Si,24,2,Alto,5,79,7,10,2016-02-06,21
Masculino,Primaria,Artes,14.78,86,No,21,4,Alto,6,89,3,5,2017-08-21,8
Masculino,Universitario,Ciencias,11.42,98,Si,27,3,Medio,8,73,1,4,2016-07-01,22
Masculino,Primaria,Artes,14.91,57,Si,11,2,Bajo,6,79,1,4,2016-07-26,9
Masculino,Secundaria,Artes,11.01,65,No,13,5,Bajo,6,70,2,5,2015-01-13,13
Femenino,Primaria,Matematicas,17.96,91,Si,22,2,Bajo,5,75,5,7,2016-07-10,6
Femenino,Primaria,Matematicas,14.59,74,No,20,3,Medio,7,98,8,10,2017-02-27,10
Masculino,Secundaria,Matematicas,18.86,75,No,11,3,Bajo,8,70,6,6,2016-07-21,14
Masculino,Secundaria,Matematicas,8.83,99,No,7,3,Alto,8,81,3,6,2017-04-06,12
Masculino,Universitario,Artes,10.75,56,Si,26,2,Bajo,10,79,7,2,2016-06-07,19
Femenino,Universitario,Ciencias,16.76,81,Si,7,1,Alto,6,79,4,10,2015-10-23,22
Masculino,Primaria,Ciencias,10.18,51,Si,21,1,Alto,8,74,10,9,2016-02-22,7
Masculino,Primaria,Ciencias,9.56,62,No,25,5,Alto,7,83,1,5,2017-03-16,9
Femenino,Secundaria,Artes,18.92,67,No,22,4,Medio,10,80,6,3,2016-10-27,16
Masculino,Universitario,Matematicas,17.69,74,No,24,5,Alto,6,85,1,2,2017-02-27,23
Masculino,Secundaria,Artes,15.08,57,No,21,4,Medio,8,87,3,2,2015-08-05,15
Femenino,Primaria,Matematicas,12.87,87,No,23,4,Medio,7,72,3,4,2017-04-28,8
Masculino,Primaria,Ciencias,15.04,51,No,15,2,Alto,5,70,9,8,2016-01-24,7
Masculino,Secundaria,Artes,14.53,67,No,6,3,Bajo,9,91,4,7,2016-07-17,16
Femenino,Secundaria,Artes,14.39,58,Si,17,3,Alto,5,87,6,9,2015-12-13,16
Masculino,Universitario,Artes,18.45,73,Si,24,5,Bajo,7,75,5,6,2016-08-27,24
Masculino,Primaria,Artes,10.71,93,Si,26,2,Bajo,5,94,10,9,2017-04-03,7
Femenino,Primaria,Ciencias,17.22,53,Si,21,1,Alto,6,93,9,6,2016-01-15,7
Femenino,Primaria,Ciencias,12.18,88,Si,14,1,Bajo,5,85,10,5,2015-08-23,9
Masculino,Primaria,Artes,17.14,51,No,23,1,Alto,8,91,6,8,2016-10-30,6
Masculino,Primaria,Ciencias,15.97,87,No,6,2,Bajo,5,84,7,4,2015-11-02,7
Femenino,Secundaria,Ciencias,13.76,93,No,13,4,Alto,9,83,3,2,2016-03-18,16
Femenino,Secundaria,Artes,10.59,91,No,17,5,Medio,6,96,3,5,2016-09-13,16
Masculino,Universitario,Ciencias,15.07,67,Si,10,2,Bajo,6,77,8,5,2015-07-10,19
Femenino,Secundaria,Artes,10.71,78,Si,7,5,Alto,8,73,7,9,2015-04-07,16
Masculino,Secundaria,Artes,12.97,69,No,15,3,Medio,5,75,6,1,2016-11-17,14
Masculino,Primaria,Ciencias,15.52,73,Si,10,5,Bajo,5,72,4,10,2016-02-15,6
Femenino,Secundaria,Matematicas,17.5,70,No,14,3,Alto,8,70,5,7,2015-12-22,16
Masculino,Secundaria,Matematicas,12.78,78,Si,23,2,Medio,7,76,1,6,2017-06-06,13
Masculino,Primaria,Matematicas,19.0,72,No,13,2,Alto,5,76,6,5,2017-08-28,6
Masculino,Universitario,Artes,16.77,90,Si,18,3,Alto,7,95,6,8,2015-10-03,19
Femenino,Primaria,Artes,19.07,73,Si,29,5,Medio,7,93,8,6,2016-10-31,9
Masculino,Universitario,Matematicas,9.6,57,No,26,2,Medio,8,84,9,2,2015-02-16,19
Femenino,Primaria,Ciencias,17.14,52,Si,15,2,Bajo,6,91,7,1,2017-04-02,11
Femenino,Secundaria,Ciencias,15.77,62,No,19,4,Medio,10,78,2,1,2016-12-24,14
Masculino,Secundaria,Ciencias,9.95,88,Si,29,5,Bajo,5,97,2,1,2017-01-19,16
Masculino,Secundaria,Matematicas,11.58,73,Si,23,4,Bajo,6,77,8,1,2017-08-02,12
Masculino,Primaria,Artes,13.02,67,No,28,1,Alto,9,92,8,7,2015-01-29,8
Masculino,Primaria,Matematicas,10.22,69,Si,27,4,Alto,6,99,7,6,2015-01-14,8
Masculino,Secundaria,Matematicas,19.83,63,No,23,2,Bajo,9,86,8,5,2015-10-27,12
Femenino,Universitario,Ciencias,16.87,93,No,28,3,Medio,5,83,5,2,2016-02-06,24
Femenino,Universitario,Artes,17.59,80,Si,22,3,Alto,10,89,3,9,2017-11-08,17
Femenino,Secundaria,Ciencias,11.17,91,No,7,1,Alto,9,81,6,5,2016-04-12,13
Femenino,Primaria,Artes,16.71,50,Si,18,4,Bajo,7,86,6,10,2016-04-09,8
Masculino,Universitario,Matematicas,16.96,96,No,19,2,Alto,5,91,7,3,2015-06-06,20
Masculino,Primaria,Artes,11.94,59,Si,13,5,Medio,8,88,3,7,2017-06-27,6
Masculino,Universitario,Ciencias,12.19,51,Si,22,3,Medio,7,80,5,10,2016-12-20,22
Femenino,Primaria,Ciencias,12.65,68,Si,22,4,Alto,10,91,3,7,2015-01-03,7
Masculino,Primaria,Matematicas,13.53,64,No,19,5,Medio,7,88,7,3,2015-08-23,6
Femenino,Universitario,Ciencias,10.01,92,Si,8,1,Medio,8,98,4,8,2017-12-14,23
Femenino,Primaria,Artes,15.32,94,Si,17,2,Medio,6,79,2,1,2015-07-24,9
Masculino,Secundaria,Ciencias,12.63,52,No,11,4,Medio,8,74,2,1,2016-01-27,14
Femenino,Primaria,Artes,17.37,58,No,18,5,Bajo,5,82,5,5,2015-01-24,8
Masculino,Primaria,Ciencias,10.67,96,No,12,3,Alto,8,85,8,4,2017-09-20,9
Masculino,Universitario,Matematicas,19.91,85,Si,7,4,Alto,7,90,10,9,2016-11-07,21
Masculino,Universitario,Matematicas,14.83,79,No,19,2,Bajo,5,76,10,6,2017-12-14,24
Femenino,Secundaria,Artes,18.54,77,No,6,3,Alto,10,89,10,9,2015-11-15,16
Femenino,Universitario,Ciencias,8.63,64,No,6,1,Bajo,7,87,7,4,2016-11-24,20
Femenino,Primaria,Ciencias,11.76,55,No,12,2,Alto,9,70,7,3,2015-06-21,11
Masculino,Primaria,Artes,19.81,73,Si,16,3,Medio,9,88,3,5,2017-02-07,6
Masculino,Universitario,Artes,9.5,78,Si,5,5,Medio,8,73,1,6,2017-10-27,22
Femenino,Primaria,Ciencias,16.86,74,No,7,3,Bajo,8,85,5,9,2015-06-13,8
Femenino,Universitario,Ciencias,19.86,85,No,29,5,Medio,10,78,5,6,2016-04-10,22
Femenino,Universitario,Ciencias,14.76,65,Si,14,2,Alto,6,96,3,9,2015-07-23,23
Masculino,Universitario,Matematicas,19.8,97,Si,18,4,Medio,10,79,7,3,2016-10-04,19
Femenino,Universitario,Ciencias,11.18,93,No,22,3,Medio,7,94,2,6,2017-06-19,18
Masculino,Primaria,Artes,18.47,93,No,26,1,Alto,7,86,1,3,2015-05-09,11
Femenino,Primaria,Ciencias,19.01,74,Si,27,2,Bajo,8,96,8,10,2016-03-16,10
Masculino,Primaria,Artes,14.32,81,Si,19,3,Alto,8,73,4,6,2015-03-04,7
Masculino,Universitario,Ciencias,16.51,88,No,12,1,Alto,10,81,1,9,2017-11-20,24
Femenino,Primaria,Ciencias,16.91,99,Si,6,2,Medio,8,91,5,2,2017-03-31,9
Masculino,Secundaria,Matematicas,8.81,52,Si,9,4,Bajo,8,83,5,5,2015-12-10,15
Masculino,Primaria,Artes,10.81,87,No,27,1,Medio,9,99,8,4,2017-12-13,11
Masculino,Secundaria,Artes,15.74,89,No,12,2,Alto,5,94,9,8,2017-05-24,16
Masculino,Universitario,Matematicas,17.87,91,Si,16,4,Alto,7,82,3,7,2015-11-28,23
Masculino,Secundaria,Ciencias,8.87,97,No,15,1,Alto,7,86,4,9,2015-04-14,14
Femenino,Secundaria,Ciencias,11.85,80,No,9,3,Bajo,8,78,6,4,2016-09-12,15
Femenino,Primaria,Artes,8.16,88,No,28,1,Alto,9,99,1,5,2017-04-27,8
Femenino,Primaria,Matematicas,13.43,69,No,27,1,Medio,6,84,7,10,2017-06-30,9
Femenino,Universitario,Ciencias,8.94,56,Si,19,2,Bajo,5,87,8,4,2015-08-18,19
Masculino,Primaria,Matematicas,13.69,89,Si,10,3,Medio,8,94,2,6,2015-12-14,7
Femenino,Primaria,Artes,9.98,52,No,6,5,Medio,5,94,4,4,2017-08-12,9
Masculino,Universitario,Ciencias,17.39,98,Si,23,1,Medio,5,92,1,9,2016-04-24,18
Femenino,Universitario,Artes,11.33,89,No,27,1,Alto,10,73,4,6,2016-09-02,17
Masculino,Primaria,Artes,19.13,65,Si,8,2,Bajo,7,98,6,10,2016-11-25,9
Femenino,Primaria,Artes,19.63,83,Si,6,1,Medio,10,78,6,1,2017-01-11,6
Masculino,Universitario,Artes,16.89,81,Si,14,1,Alto,9,70,9,8,2017-12-21,21
Masculino,Universitario,Matematicas,8.85,93,No,9,1,Medio,10,78,8,7,2016-08-10,19
Femenino,Secundaria,Matematicas,9.96,85,No,21,3,Bajo,8,95,5,3,2016-07-22,15
Masculino,Primaria,Artes,19.96,94,Si,15,5,Alto,10,75,5,3,2017-06-17,10
Femenino,Primaria,Ciencias,14.51,63,No,19,3,Alto,10,97,6,5,2015-06-09,6
Femenino,Primaria,Ciencias,18.27,90,No,15,1,Bajo,7,94,8,7,2017-11-05,11
