Marca,Producto,Tipo,Pulgadas,Procesador,RAM(GB),GPU,SistemaOperativo,Peso(kg),Precio(S/),Resolucion,TipoPantalla,PantallaTactil,Proc_freq(GHz),Almacenamiento_1(GB),Almacenamiento_1_tipo,Almacenamiento_2(GB),Almacenamiento_2_tipo,Marca_procesador,Marca_GPU
Asus,Rog GL702VS-GC095T,Gaming,17.3,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1070,Windows 10,2.9,8827.52,1920x1080,,0.0,2.8,256.0,SSD,1000.0,HDD,Intel,Nvidia
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,Intel Core i5 7200U ,6,Nvidia GeForce GTX 940M,Windows 10,2.8,2699.84,1600x900,,0.0,2.5,1000.0,HDD,0.0,,Intel,Nvidia
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Intel Core i5 7200U ,8,Nvidia GeForce 940MX,No OS,2.2,2283.84,1366x768,,0.0,2.5,2000.0,HDD,0.0,,Intel,Nvidia
Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,5262.4,1920x1080,,0.0,2.8,128.0,SSD,1000.0,HDD,Intel,Nvidia
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Intel Pentium Quad Core N4200 ,4,Intel HD Graphics 505,No OS,2.2,1497.56,1366x768,,0.0,1.1,1000.0,HDD,0.0,,Intel,Intel
HP,EliteBook x360,2 in 1 Convertible,13.3,Intel Core i7 7600U ,16,Intel HD Graphics 620,Windows 10,1.28,8216.0,1920x1080,,1.0,2.8,256.0,SSD,0.0,,Intel,Intel
Toshiba,Satellite Pro,Notebook,15.6,Intel Core i7 6500U ,8,Nvidia GeForce 930M,Windows 10,2.2,4338.88,1920x1080,IPSPanel,0.0,2.5,256.0,SSD,0.0,,Intel,Nvidia
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Intel Core i5 7200U ,8,Nvidia GeForce 940MX,Windows 10,2.3,3407.04,1920x1080,,0.0,2.5,128.0,SSD,1000.0,HDD,Intel,Nvidia
HP,250 G6,Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,Windows 10,1.86,1951.04,1920x1080,,0.0,2.0,1000.0,HDD,0.0,,Intel,Intel
Lenovo,IdeaPad 720S-13IKB,Notebook,13.3,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.1,4155.84,1920x1080,IPSPanel,0.0,2.5,256.0,SSD,0.0,,Intel,Intel
Dell,XPS 13,Ultrabook,13.3,Intel Core i7 8550U ,16,Intel UHD Graphics 620,Windows 10,1.21,10395.84,3840x2160,IPSPanel,1.0,1.8,1000.0,SSD,0.0,,Intel,Intel
MSI,GE63VR 7RF,Gaming,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1070,Windows 10,2.8,8731.84,1920x1080,IPSPanel,0.0,2.8,256.0,SSD,1000.0,HDD,Intel,Nvidia
Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,15.6,AMD A8-Series 7410 ,8,AMD Radeon R5,Windows 10,2.23,1951.04,1920x1080,,0.0,2.2,256.0,SSD,0.0,,AMD,AMD
Asus,VivoBook Flip,2 in 1 Convertible,11.6,Intel Celeron Dual Core N3350 ,2,Intel HD Graphics 500,Windows 10,1.1,1144.0,1366x768,,1.0,1.1,32.0,FlashStorage,0.0,,Intel,Intel
Dell,Inspiron 5570,Notebook,15.6,Intel Core i5 8250U ,8,AMD Radeon 530,Windows 10,2.33,3511.04,1920x1080,,0.0,1.6,128.0,SSD,1000.0,HDD,Intel,AMD
HP,Spectre x360,2 in 1 Convertible,13.3,Intel Core i7 8550U ,16,Intel UHD Graphics 620,Windows 10,1.29,10187.84,3840x2160,IPSPanel,1.0,1.8,1000.0,SSD,0.0,,Intel,Intel
Lenovo,ThinkPad 13,Notebook,13.3,Intel Celeron Dual Core 3855U ,4,Intel HD Graphics 510,Chrome OS,1.45,1913.18,1366x768,,0.0,1.6,16.0,FlashStorage,0.0,,Intel,Intel
HP,ProBook 640,Notebook,14.0,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.95,4076.8,1920x1080,,0.0,2.5,256.0,SSD,0.0,,Intel,Intel
Acer,TravelMate B,Notebook,11.6,Intel Pentium Quad Core N3710 ,4,Intel HD Graphics 405,Windows 10,1.4,2017.6,1366x768,,0.0,1.6,128.0,FlashStorage,0.0,,Intel,Intel
HP,Elitebook 840,Notebook,14.0,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,1.48,5374.72,1920x1080,,0.0,2.7,256.0,SSD,0.0,,Intel,Intel
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,Intel Core i5 7200U ,4,Nvidia GeForce 920MX,Windows 10,2.79,2450.24,1600x900,,0.0,2.5,1000.0,HDD,0.0,,Intel,Nvidia
Asus,ZenBook UX410UA-GV183T,Notebook,14.0,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,2.0,4551.04,1920x1080,,0.0,2.7,256.0,SSD,0.0,,Intel,Intel
HP,ProBook 450,Notebook,15.6,Intel Core i7 8550U ,8,Intel UHD Graphics 620,Windows 10,2.1,3752.32,1366x768,IPSPanel,0.0,1.8,1000.0,HDD,0.0,,Intel,Intel
Acer,Aspire 5,Notebook,15.6,AMD A12-Series 9720P ,8,AMD Radeon RX 540,Windows 10,2.2,2741.44,1366x768,,0.0,2.7,256.0,SSD,0.0,,AMD,AMD
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,Intel Celeron Dual Core N3350 ,4,Intel HD Graphics 500,Windows 10,1.44,1214.72,1366x768,,0.0,1.1,32.0,FlashStorage,0.0,,Intel,Intel
Acer,Aspire E5-575,Notebook,15.6,Intel Core i5 7200U ,6,Intel HD Graphics 620,Windows 10,2.23,2283.84,1366x768,,0.0,2.5,1000.0,HDD,0.0,,Intel,Intel
Asus,VivoBook S15,Ultrabook,15.6,Intel Core i7 7500U ,8,Nvidia GeForce 940MX,Windows 10,1.7,4367.58,1920x1080,,0.0,2.7,256.0,SSD,0.0,,Intel,Nvidia
HP,Elitebook 820,Ultrabook,12.5,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,1.26,5553.6,1920x1080,,0.0,2.7,256.0,SSD,0.0,,Intel,Intel
Dell,XPS 15,Notebook,15.6,Intel Core i7 7700HQ ,32,Nvidia GeForce GTX 1050,Windows 10,2.06,10978.24,3840x2160,,1.0,2.8,1000.0,SSD,0.0,,Intel,Nvidia
MSI,GL72M 7REX,Gaming,17.3,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,4987.84,1920x1080,,0.0,2.8,256.0,SSD,1000.0,HDD,Intel,Nvidia
Toshiba,Satellite Pro,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,2.0,3922.88,1920x1080,IPSPanel,0.0,2.5,256.0,SSD,0.0,,Intel,Intel
Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.0,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,2.0,5549.44,1920x1080,,0.0,2.7,256.0,SSD,1000.0,HDD,Intel,Intel
Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,Windows 10,1.85,1867.84,1920x1080,,0.0,2.0,1000.0,HDD,0.0,,Intel,Intel
Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050,Windows 10,2.5,4155.84,1920x1080,,0.0,2.8,256.0,SSD,0.0,,Intel,Nvidia
HP,EliteBook 840,Notebook,14.0,Intel Core i5 7300U ,8,Intel HD Graphics 620,Windows 10,1.48,5274.88,1920x1080,,0.0,2.6,256.0,SSD,0.0,,Intel,Intel
Dell,Inspiron 7570,Ultrabook,15.6,Intel Core i5 8250U ,8,Nvidia GeForce 940MX,Windows 10,1.9,4363.84,1920x1080,IPSPanel,0.0,1.6,128.0,SSD,1000.0,HDD,Intel,Nvidia
HP,Elitebook 850,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.84,4759.04,1920x1080,,0.0,2.5,256.0,SSD,0.0,,Intel,Intel
Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,Intel Celeron Dual Core N3350 ,4,Intel HD Graphics 500,Linux,2.0,1143.96,1366x768,,0.0,1.1,1000.0,HDD,0.0,,Intel,Intel
Dell,Inspiron 7570,Notebook,15.6,Intel Core i5 8250U ,8,Nvidia GeForce 940MX,Windows 10,2.0,4753.84,1920x1080,,0.0,1.6,256.0,SSD,0.0,,Intel,Nvidia
Dell,Inspiron 3552,Notebook,15.6,Intel Celeron Dual Core N3060 ,4,Intel HD Graphics,Linux,2.2,1143.58,1366x768,,0.0,1.6,500.0,HDD,0.0,,Intel,Intel
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,AMD A12-Series 9720P ,12,AMD Radeon 530,Windows 10,2.2,3739.84,1920x1080,,0.0,3.6,2000.0,HDD,0.0,,AMD,AMD
HP,ProBook 450,Notebook,15.6,Intel Core i3 7100U ,8,Nvidia GeForce 930MX ,Windows 10,2.1,2978.56,1920x1080,IPSPanel,0.0,2.4,1000.0,HDD,0.0,,Intel,Nvidia
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,Intel Core i7 8550U ,16,Intel UHD Graphics 620,Windows 10,1.4,8731.84,3840x2160,IPSPanel,1.0,1.8,512.0,SSD,0.0,,Intel,Intel
Dell,XPS 13,Ultrabook,13.3,Intel Core i7 8550U ,8,Intel UHD Graphics 620,Windows 10,1.2,6568.64,1920x1080,,0.0,1.8,256.0,SSD,0.0,,Intel,Intel
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.4,4696.64,1920x1080,IPSPanel,0.0,2.8,256.0,SSD,2000.0,HDD,Intel,Nvidia
HP,Stream 14-AX001nv,Notebook,14.0,Intel Celeron Dual Core N3060 ,2,Intel HD Graphics 400,Windows 10,1.44,1160.64,1366x768,,0.0,1.6,32.0,FlashStorage,0.0,,Intel,Intel
Dell,Latitude 5590,Ultrabook,15.6,Intel Core i7 8650U ,16,Intel UHD Graphics 620,Windows 10,1.88,6689.11,1920x1080,,0.0,1.9,512.0,SSD,256.0,SSD,Intel,Intel
Asus,VivoBook Flip,2 in 1 Convertible,11.6,Intel Celeron Dual Core N3350 ,4,Intel HD Graphics 500,Windows 10,1.5,1560.0,1366x768,,1.0,1.1,32.0,FlashStorage,0.0,,Intel,Intel
Dell,Inspiron 5570,Ultrabook,15.6,Intel Core i5 8250U ,8,AMD Radeon 530,Windows 10,1.9,2758.08,1920x1080,,0.0,1.6,1000.0,HDD,0.0,,Intel,AMD
Dell,XPS 15,Notebook,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1050,Windows 10,2.06,8434.07,3840x2160,,1.0,2.8,512.0,SSD,0.0,,Intel,Nvidia
HP,Elitebook 850,Notebook,15.6,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,1.84,5424.64,1920x1080,,0.0,2.7,256.0,SSD,0.0,,Intel,Intel
MSI,GP72MVR 7RFX,Gaming,17.3,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1060,Windows 10,2.7,5861.44,1920x1080,,0.0,2.8,128.0,SSD,1000.0,HDD,Intel,Nvidia
HP,Zbook 15,Workstation,15.6,Intel Core i7 7700HQ ,8,Nvidia Quadro M1200,Windows 10,2.6,7231.2,1920x1080,,0.0,2.8,256.0,SSD,0.0,,Intel,Nvidia
Toshiba,Tecra A50-C-21G,Notebook,15.6,Intel Core i7 6500U ,16,Nvidia GeForce 930M,Windows 10,2.4,5836.48,1920x1080,IPSPanel,0.0,2.5,512.0,SSD,0.0,,Intel,Nvidia
Dell,Inspiron 5570,Notebook,15.6,Intel Core i7 8550U ,8,AMD Radeon 530,Windows 10,2.02,4038.94,1920x1080,,0.0,1.8,128.0,SSD,2000.0,HDD,Intel,AMD
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Intel Celeron Dual Core N3350 ,4,Intel HD Graphics 500,No OS,2.2,1339.48,1366x768,,0.0,1.1,1000.0,HDD,0.0,,Intel,Intel
Dell,Inspiron 7577,Gaming,15.6,Intel Core i5 7300HQ ,8,Nvidia GeForce GTX 1050,Windows 10,2.65,4155.84,1920x1080,,0.0,2.5,1000.0,HDD,0.0,,Intel,Nvidia
Dell,Inspiron 3567,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,2.36,2318.66,1366x768,,1.0,2.5,2000.0,HDD,0.0,,Intel,Intel
Dell,Latitude 7480,Notebook,14.0,Intel Core i5 7300U ,8,Intel HD Graphics 620,Windows 10,1.36,5936.32,1920x1080,,0.0,2.6,256.0,SSD,0.0,,Intel,Intel
HP,250 G6,Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,Windows 10,1.86,1826.24,1366x768,,0.0,2.0,500.0,HDD,0.0,,Intel,Intel
Asus,Zenbook UX410UA-GV027T,Notebook,14.0,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,2.0,3931.2,1920x1080,,0.0,2.5,256.0,SSD,0.0,,Intel,Intel
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,Intel Core i5 7200U ,6,Nvidia GeForce GTX 940MX,Windows 10,2.8,2991.04,1600x900,,0.0,2.5,128.0,SSD,1000.0,HDD,Intel,Nvidia
HP,250 G6,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.86,2658.24,1920x1080,,0.0,2.5,1000.0,HDD,0.0,,Intel,Intel
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Intel Core i3 6006U ,8,Nvidia GeForce 920MX ,No OS,2.2,2075.84,1366x768,,0.0,2.0,256.0,SSD,0.0,,Intel,Nvidia
HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,Intel Pentium Quad Core N3710 ,8,Intel HD Graphics 405,Windows 10,2.04,1618.24,1366x768,,0.0,1.6,2000.0,HDD,0.0,,Intel,Intel
Dell,Inspiron 5770,Notebook,17.3,Intel Core i5 8250U ,8,AMD Radeon 530,Windows 10,2.8,4513.6,1920x1080,,0.0,1.6,128.0,SSD,1000.0,HDD,Intel,AMD
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Intel Core i5 7300HQ ,8,Nvidia GeForce GTX 1050,No OS,2.4,3365.44,1920x1080,IPSPanel,0.0,2.5,128.0,SSD,1000.0,HDD,Intel,Nvidia
Dell,Inspiron 5567,Notebook,15.6,Intel Core i7 7500U ,8,AMD Radeon R7 M445,Windows 10,2.33,3739.84,1920x1080,,0.0,2.7,256.0,SSD,0.0,,Intel,AMD
HP,Elitebook 1040,Ultrabook,14.0,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,1.36,7280.0,1920x1080,IPSPanel,0.0,2.7,256.0,SSD,0.0,,Intel,Intel
Asus,ZenBook Flip,2 in 1 Convertible,15.6,Intel Core i7 7500U ,12,Nvidia GeForce GT 940MX,Windows 10,2.26,4571.84,1920x1080,,1.0,2.7,512.0,SSD,2000.0,HDD,Intel,Nvidia
Acer,Aspire 3,Notebook,15.6,AMD A9-Series 9420 ,4,AMD Radeon R5,Windows 10,2.1,1772.16,1366x768,,0.0,3.0,128.0,SSD,0.0,,AMD,AMD
Asus,Rog Strix,Gaming,17.3,AMD Ryzen 1700 ,16,AMD Radeon RX 580,Windows 10,3.25,9147.84,1920x1080,IPSPanel,0.0,3.0,256.0,SSD,1000.0,HDD,AMD,AMD
Lenovo,IdeaPad 110-17ACL,Notebook,17.3,AMD A8-Series 7410 ,4,AMD Radeon R5,Windows 10,2.6,2034.24,1600x900,,0.0,2.2,128.0,SSD,0.0,,AMD,AMD
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Intel Core i7 8550U ,8,Intel UHD Graphics 620,Windows 10,1.62,3615.08,1920x1080,,1.0,1.8,256.0,SSD,0.0,,Intel,Intel
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,AMD A9-Series 9420 ,4,AMD Radeon R5,Windows 10,1.91,2034.2,1920x1080,,0.0,3.0,256.0,SSD,0.0,,AMD,AMD
Lenovo,Yoga 11e,Netbook,11.6,Intel Celeron Quad Core N3450 ,4,Intel HD Graphics 500,Windows 10,1.59,2300.48,1366x768,IPSPanel,0.0,1.1,128.0,SSD,0.0,,Intel,Intel
Dell,Inspiron 3552,Notebook,15.6,Intel Celeron Dual Core N3060 ,4,Intel HD Graphics 400,Windows 10,1.8,1285.44,1366x768,,0.0,1.6,500.0,HDD,0.0,,Intel,Intel
Asus,VivoBook E403NA,Notebook,14.0,Intel Celeron Dual Core N3350 ,4,Intel HD Graphics 500,Windows 10,1.5,1189.76,1366x768,,0.0,1.1,32.0,FlashStorage,0.0,,Intel,Intel
Acer,Aspire 7,Notebook,15.6,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050,Linux,2.4,3519.36,1920x1080,,0.0,2.8,1000.0,HDD,0.0,,Intel,Nvidia
HP,Omen 17-w212nv,Gaming,17.3,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050,Windows 10,3.35,4954.56,1920x1080,IPSPanel,0.0,2.8,128.0,SSD,1000.0,HDD,Intel,Nvidia
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,No OS,1.85,1678.56,1920x1080,,0.0,2.0,128.0,SSD,0.0,,Intel,Intel
Asus,ROG Strix,Gaming,15.6,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1060,Windows 10,2.3,6884.8,1920x1080,IPSPanel,0.0,2.8,128.0,SSD,1000.0,HDD,Intel,Nvidia
Lenovo,IdeaPad 720S-14IKB,Notebook,14.0,Intel Core i5 7200U ,8,Nvidia GeForce 940MX,Windows 10,1.5,4571.84,1920x1080,IPSPanel,0.0,2.5,256.0,SSD,0.0,,Intel,Nvidia
Asus,Zenbook Flip,Ultrabook,13.3,Intel Core i7 7500U ,16,Intel HD Graphics 620,Windows 10,1.1,7275.42,1920x1080,,1.0,2.7,512.0,SSD,0.0,,Intel,Intel
Lenovo,Thinkpad X1,Ultrabook,14.0,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,1.13,9493.12,2560x1440,IPSPanel,0.0,2.7,512.0,SSD,0.0,,Intel,Intel
Lenovo,Ideapad 510S-13IKB,Notebook,13.3,Intel Core i3 7100U ,4,Intel HD Graphics 620,Windows 10,1.5,2283.84,1920x1080,IPSPanel,0.0,2.4,128.0,SSD,0.0,,Intel,Intel
Dell,Precision 3510,Workstation,15.6,Intel Core i5 6440HQ ,8,AMD FirePro W5130M,Windows 10,2.23,5695.04,1920x1080,,0.0,2.6,500.0,HDD,0.0,,Intel,AMD
Dell,Precision 5520,Workstation,15.6,Intel Core i7 6820HQ ,8,Nvidia Quadro M1200,Windows 10,2.0,8881.6,1920x1080,IPSPanel,0.0,2.7,256.0,SSD,0.0,,Intel,Nvidia
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Intel Core i7 7500U ,16,Intel HD Graphics 620,Windows 10,1.42,10437.44,2560x1440,,1.0,2.7,512.0,SSD,0.0,,Intel,Intel
Asus,Rog GL753VD-GC042T,Gaming,17.3,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050,Windows 10,3.0,4322.24,1920x1080,,0.0,2.8,1000.0,HDD,0.0,,Intel,Nvidia
Asus,Rog GL753VE-GC070T,Gaming,17.3,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1050 Ti,Windows 10,3.0,6618.56,1920x1080,,0.0,2.8,256.0,SSD,1000.0,HDD,Intel,Nvidia
Acer,Aspire 5,Notebook,15.6,Intel Core i5 8250U ,12,Nvidia GeForce MX130,Windows 10,2.2,2887.0,1366x768,IPSPanel,0.0,1.6,1000.0,HDD,0.0,,Intel,Nvidia
MSI,Leopard GP72M,Gaming,17.3,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,5611.84,1920x1080,,0.0,2.8,256.0,SSD,0.0,,Intel,Nvidia
Dell,Inspiron 5567,Notebook,15.6,Intel Core i7 7500U ,8,AMD Radeon R7 M445,Linux,2.33,3240.1,1920x1080,,0.0,2.7,256.0,SSD,0.0,,Intel,AMD
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,AMD A9-Series 9420 ,4,AMD Radeon 520,Windows 10,1.91,2075.84,1920x1080,,0.0,3.0,256.0,SSD,0.0,,AMD,AMD
Lenovo,ThinkPad E580,Notebook,15.6,Intel Core i7 8550U ,8,AMD Radeon RX 550,Windows 10,2.1,5114.97,1920x1080,IPSPanel,0.0,1.8,256.0,SSD,0.0,,Intel,AMD
Lenovo,ThinkPad L470,Notebook,14.0,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.9,3902.08,1920x1080,IPSPanel,0.0,2.5,256.0,SSD,0.0,,Intel,Intel
Dell,Precision M5520,Workstation,15.6,Intel Core i7 7700HQ ,8,Nvidia Quadro M1200,Windows 10,1.78,11281.92,3840x2160,,1.0,2.8,256.0,SSD,0.0,,Intel,Nvidia
Lenovo,Thinkpad X1,Ultrabook,14.0,Intel Core i7 7500U ,16,Intel HD Graphics 620,Windows 10,1.13,10920.0,2560x1440,IPSPanel,0.0,2.7,1000.0,SSD,0.0,,Intel,Intel
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Intel Celeron Dual Core N3350 ,4,Intel HD Graphics 500,Windows 10,2.2,1272.96,1366x768,,0.0,1.1,1000.0,HDD,0.0,,Intel,Intel
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1050,Windows 10,2.9,6360.64,1920x1080,,0.0,2.8,256.0,SSD,1000.0,HDD,Intel,Nvidia
Lenovo,ThinkPad E580,Notebook,15.6,Intel Core i5 8250U ,8,AMD Radeon RX 550,Windows 10,2.1,4761.12,1920x1080,IPSPanel,0.0,1.6,256.0,SSD,1000.0,HDD,Intel,AMD
Acer,Aspire 7,Notebook,15.6,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050,Linux,2.5,3656.64,1920x1080,,0.0,2.8,256.0,SSD,0.0,,Intel,Nvidia
MSI,GE73VR 7RF,Gaming,17.3,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1070,Windows 10,2.8,9355.84,1920x1080,,0.0,2.8,256.0,SSD,1000.0,HDD,Intel,Nvidia
Asus,Zenbook 3,Ultrabook,14.0,Intel Core i7 7500U ,8,Intel HD Graphics 620,Windows 10,1.1,7791.68,1920x1080,,0.0,2.7,512.0,SSD,0.0,,Intel,Intel
Toshiba,Portege Z30-C-16P,Ultrabook,13.3,Intel Core i7 6500U ,16,Intel HD Graphics 520,Windows 10,1.2,7267.52,1920x1080,,0.0,2.5,512.0,SSD,0.0,,Intel,Intel
Dell,Latitude 7480,Ultrabook,14.0,Intel Core i7 7600U ,8,Intel HD Graphics,Windows 10,1.36,6988.8,1920x1080,,0.0,2.8,512.0,SSD,0.0,,Intel,Intel
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,Windows 10,2.2,1701.44,1920x1080,,0.0,2.0,500.0,HDD,0.0,,Intel,Intel
Lenovo,Lenovo IdeaPad,Notebook,11.6,Intel Celeron Dual Core N3350 ,2,Intel HD Graphics 500,Windows 10,1.15,1266.51,1366x768,,0.0,1.1,32.0,FlashStorage,0.0,,Intel,Intel
Lenovo,ThinkPad P51,Workstation,15.6,Intel Core i7 7700HQ ,8,Nvidia Quadro M1200,Windows 10,2.67,8008.0,1920x1080,,0.0,2.8,512.0,SSD,0.0,,Intel,Nvidia
Lenovo,Thinkpad T470p,Ultrabook,14.0,Intel Core i7 7700HQ ,8,Nvidia GeForce GT 940MX,Windows 10,1.7,8082.88,2560x1440,IPSPanel,0.0,2.8,512.0,SSD,0.0,,Intel,Nvidia
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,15.6,Intel Core i3 6006U ,4,AMD Radeon 520,Windows 10,2.1,1951.04,1920x1080,,0.0,2.0,1000.0,HDD,0.0,,Intel,AMD
Acer,Aspire R7,2 in 1 Convertible,13.3,Intel Core i7 6500U ,8,Intel HD Graphics 520,Windows 10,1.6,3282.28,1920x1080,IPSPanel,1.0,2.5,256.0,SSD,0.0,,Intel,Intel
Asus,ZenBook Flip,2 in 1 Convertible,13.3,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.27,3860.48,1920x1080,IPSPanel,1.0,2.5,256.0,SSD,0.0,,Intel,Intel
Dell,Inspiron 3567,Notebook,15.6,Intel Core i5 7200U ,4,AMD Radeon R5 M430,Linux,2.3,2491.42,1920x1080,,0.0,2.5,256.0,SSD,0.0,,Intel,AMD
Dell,Latitude 3380,Notebook,13.3,Intel Core i3 6006U ,4,Intel HD Graphics 520,Windows 10,1.65,2866.24,1366x768,,0.0,2.0,128.0,SSD,0.0,,Intel,Intel
HP,EliteBook 1040,Ultrabook,14.0,Intel Core i7 6500U ,8,Intel HD Graphics 520,Windows 10,1.43,6240.0,1920x1080,,0.0,2.5,256.0,SSD,0.0,,Intel,Intel
Dell,Inspiron 3567,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,2.14,2246.19,1366x768,,0.0,2.5,1000.0,HDD,0.0,,Intel,Intel
Lenovo,ThinkPad E480,Ultrabook,14.0,Intel Core i7 8550U ,8,AMD Radeon RX 550,Windows 10,1.75,5055.98,1920x1080,IPSPanel,0.0,1.8,256.0,SSD,0.0,,Intel,AMD
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1050,Windows 10,2.0,7899.84,3840x2160,IPSPanel,1.0,2.8,512.0,SSD,0.0,,Intel,Nvidia
Chuwi,LapBook 12.3,Notebook,12.3,Intel Celeron Quad Core N3450 ,6,Intel HD Graphics 500,Windows 10,1.4,1867.84,2736x1824,IPSPanelRetinaDisplay,0.0,1.1,64.0,FlashStorage,0.0,,Intel,Intel
HP,ProBook 650,Notebook,15.6,Intel Core i7 7820HQ ,8,Intel HD Graphics 630,Windows 10,2.31,5936.32,1920x1080,,0.0,2.9,256.0,SSD,0.0,,Intel,Intel
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,Intel Core i3 7100U ,8,Nvidia GeForce 940MX,Linux,2.3,2483.52,1920x1080,,0.0,2.4,1000.0,HDD,0.0,,Intel,Nvidia
Dell,Alienware 17,Gaming,17.3,Intel Core i7 7820HK ,16,Nvidia GeForce GTX 1070,Windows 10,4.42,11643.84,2560x1440,IPSPanel,0.0,2.9,256.0,SSD,1000.0,HDD,Intel,Nvidia
Dell,Inspiron 7577,Gaming,15.6,Intel Core i7 7700HQ ,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.62,4821.44,1920x1080,IPSPanel,0.0,2.8,128.0,SSD,1000.0,HDD,Intel,Nvidia
Dell,Inspiron 5570,Notebook,15.6,Intel Core i7 8550U ,8,AMD Radeon 530,Windows 10,2.02,4752.38,1920x1080,,0.0,1.8,256.0,SSD,2000.0,HDD,Intel,AMD
